          iterations=   6     deuteron energy=-.222462069E+01 MeV


                  D-state probability=0.442679905E-01




   p(fm-1)          3s1(fm**3/2)      3d1(fm**3/2)
 0.721452987E-03  0.159830014E+02  -.392342732E-05
 0.380126159E-02  0.159787320E+02  -.108889915E-03
 0.934194630E-02  0.159564425E+02  -.656740176E-03
 0.173445195E-01  0.158914232E+02  -.225449590E-02
 0.278088167E-01  0.157493840E+02  -.574308185E-02
 0.407344615E-01  0.154895972E+02  -.121169953E-01
 0.561209567E-01  0.150709106E+02  -.223705631E-01
 0.739677009E-01  0.144607354E+02  -.372682607E-01
 0.942739934E-01  0.136453037E+02  -.570828463E-01
 0.117039035E+00  0.126374867E+02  -.813965063E-01
 0.142261930E+00  0.114779816E+02  -.109072454E+00
 0.169941685E+00  0.102280788E+02  -.138442935E+00
 0.200077209E+00  0.895648160E+01  -.167650278E+00
 0.232667315E+00  0.772562757E+01  -.195001387E+00
 0.267710720E+00  0.658241161E+01  -.219209937E+00
 0.305206042E+00  0.555509041E+01  -.239480486E+00
 0.345151805E+00  0.465513378E+01  -.255465750E+00
 0.387546435E+00  0.388154904E+01  -.267160032E+00
 0.432388261E+00  0.322555371E+01  -.274782796E+00
 0.479675516E+00  0.267442649E+01  -.278681975E+00
 0.529406339E+00  0.221418947E+01  -.279265622E+00
 0.581578768E+00  0.183123523E+01  -.276958882E+00
 0.636190749E+00  0.151317356E+01  -.272179334E+00
 0.693240130E+00  0.124917106E+01  -.265323969E+00
 0.752724663E+00  0.102999490E+01  -.256762821E+00
 0.814642005E+00  0.847903116E+00  -.246836066E+00
 0.878989717E+00  0.696469128E+00  -.235852861E+00
 0.945765262E+00  0.570389864E+00  -.224091043E+00
 0.101496601E+01  0.465302785E+00  -.211797350E+00
 0.108658923E+01  0.377623105E+00  -.199188039E+00
 0.116063211E+01  0.304404560E+00  -.186449836E+00
 0.123709173E+01  0.243223196E+00  -.173741165E+00
 0.131596507E+01  0.192081815E+00  -.161193553E+00
 0.139724903E+01  0.149332177E+00  -.148913099E+00
 0.148094040E+01  0.113612015E+00  -.136981872E+00
 0.156703589E+01  0.837942367E-01  -.125459102E+00
 0.165553211E+01  0.589460282E-01  -.114382072E+00
 0.174642556E+01  0.382959677E-01  -.103766667E+00
 0.183971267E+01  0.212075694E-01  -.936076374E-01
 0.193538977E+01  0.715796446E-02  -.838787779E-01
 0.203345307E+01  -.427938497E-02  -.745334765E-01
 0.213389873E+01  -.134489323E-01  -.655064332E-01
 0.223672278E+01  -.206252442E-01  -.567178539E-01
 0.234192116E+01  -.260242506E-01  -.480820164E-01
 0.244948974E+01  -.298148567E-01  -.395226316E-01
 0.255942428E+01  -.321324194E-01  -.309973895E-01
 0.267172044E+01  -.330954936E-01  -.225325561E-01
 0.278637381E+01  -.328263274E-01  -.142639753E-01
 0.290337986E+01  -.314731510E-01  -.647195682E-02
 0.302273398E+01  -.292281077E-01  0.414891727E-03
 0.314443148E+01  -.263303157E-01  0.588061182E-02
 0.326846755E+01  -.230439517E-01  0.946962819E-02
 0.339483731E+01  -.196131495E-01  0.109922100E-01
 0.352353578E+01  -.162181617E-01  0.106786930E-01
