#
# Bonn momentum distribution
#
#! pm[f,0]/ psi_sq_s[f,1]/ psi_sq_d[f,2]/ psi_sq[f,3]/ 
0 41.833 2.39165e-09
10 39.8748 0.0501996
20 34.9285 0.175499
30 28.8097 0.325576
40 23.0868 0.461519
50 18.303 0.568331
60 14.4914 0.644981
70 11.5758 0.695701
80 9.29516 0.725948
90 7.54321 0.74027
100 6.18061 0.742967
110 5.09902 0.736206
120 4.24264 0.723187
130 3.54965 0.705691
140 2.98329 0.684105
150 2.5219 0.66106
160 2.14009 0.63561
170 1.82483 0.609918
180 1.55885 0.583952
190 1.33417 0.557674
200 1.14455 0.531037
210 0.984378 0.505964
220 0.846759 0.480625
230 0.728697 0.45607
240 0.626897 0.432435
250 0.539444 0.409878
260 0.463681 0.388587
270 0.397492 0.367423
280 0.340588 0.347851
290 0.291376 0.328634
300 0.248193 0.311127
310 0.210476 0.293939
320 0.177764 0.277669
330 0.148997 0.262107
340 0.124097 0.247588
350 0.10247 0.233666
360 0.0832466 0.220454
370 0.0667083 0.207846
380 0.0522494 0.195959
390 0.0397492 0.184932
400 0.0288964 0.174356
410 0.0194936 0.164317
420 0.0114018 0.154596
430 0.00441588 0.145945
440 0.00155885 0.137477
450 -0.00664831 0.129228
460 -0.0109545 0.121655
470 -0.0145945 0.114455
480 -0.0176352 0.107703
490 -0.0201246 0.101489
500 -0.0221585 0.0953415
510 -0.0237697 0.089666
520 -0.02502 0.0843208
530 -0.0259615 0.0792465
540 -0.0266458 0.0744312
550 -0.027074 0.0699285
560 -0.0272947 0.0656506
570 -0.0273313 0.0616441
580 -0.0272213 0.0578792
590 -0.0269629 0.0543139
600 -0.0265895 0.050892
610 -0.0261343 0.0477493
620 -0.025593 0.0447214
630 -0.02498 0.0419524
640 -0.0243105 0.0392428
650 -0.0236008 0.0367423
660 -0.0228473 0.0344964
670 -0.0220681 0.032249
680 -0.0212603 0.0301496
690 -0.020445 0.0281957
700 -0.0196214 0.0263439
710 -0.0188149 0.0246171
720 -0.0179722 0.0229783
730 -0.0171464 0.0214476
740 -0.0163401 0.02
750 -0.0155242 0.0186548
760 -0.0147309 0.0173781
770 -0.0139642 0.0161864
780 -0.0131909 0.0150665
790 -0.0124499 0.014
800 -0.0117473 0.013
810 -0.0110454 0.012083
820 -0.0103441 0.011225
830 -0.0096902 0.0103923
840 -0.00904434 0.00962289
850 -0.00842615 0.00889944
860 -0.00782304 0.00822192
870 -0.00724569 0.00758947
880 -0.00668581 0.007
890 -0.0061563 0.00644205
900 -0.00563915 0.00592453
910 -0.00514782 0.00543139
920 -0.00466905 0.00497996
930 -0.004219 0.00454973
940 -0.00378153 0.00414729
950 -0.00337639 0.00378153
960 -0.00297489 0.00343511
970 -0.00259615 0.00310161
980 -0.0022383 0.00279643
990 -0.00189737 0.00251197
1000 -0.00156844 0.00224722
