W2	Ee`	X	QL_A	IN_A	TOT_A	QL_D	IN_D	TOT_D	DGW2D	REL	Q2
2.4554	5.3200	0.3000	0.187E+00	0.164E+02	0.166E+02	0.689E-02	0.208E+01	0.209E+01	0.104E+01	0.114E+01	0.6750
2.3918	5.3517	0.3100	0.210E+00	0.160E+02	0.163E+02	0.774E-02	0.215E+01	0.216E+01	0.108E+01	0.108E+01	0.6791
2.3315	5.3818	0.3200	0.235E+00	0.151E+02	0.153E+02	0.868E-02	0.220E+01	0.221E+01	0.110E+01	0.991E+00	0.6829
2.2742	5.4104	0.3300	0.259E+00	0.154E+02	0.156E+02	0.961E-02	0.222E+01	0.223E+01	0.111E+01	0.100E+01	0.6865
2.2197	5.4376	0.3400	0.288E+00	0.151E+02	0.154E+02	0.106E-01	0.218E+01	0.219E+01	0.109E+01	0.100E+01	0.6900
2.1678	5.4635	0.3500	0.315E+00	0.159E+02	0.162E+02	0.117E-01	0.353E+00	0.364E+00	0.182E+00	0.637E+01	0.6932
2.1184	5.4882	0.3600	0.345E+00	0.133E+02	0.136E+02	0.128E-01	0.315E+00	0.327E+00	0.163E+00	0.595E+01	0.6964
2.0712	5.5118	0.3700	0.374E+00	0.143E+02	0.147E+02	0.139E-01	0.159E+01	0.160E+01	0.800E+00	0.131E+01	0.6994
2.0261	5.5343	0.3800	0.408E+00	0.158E+02	0.162E+02	0.151E-01	0.176E+01	0.178E+01	0.886E+00	0.130E+01	0.7022
1.9830	5.5558	0.3900	0.444E+00	0.177E+02	0.182E+02	0.164E-01	0.172E+01	0.174E+01	0.869E+00	0.149E+01	0.7049
1.9417	5.5764	0.4000	0.476E+00	0.185E+02	0.190E+02	0.177E-01	0.170E+01	0.171E+01	0.855E+00	0.158E+01	0.7076
1.9022	5.5961	0.4100	0.514E+00	0.193E+02	0.198E+02	0.192E-01	0.169E+01	0.171E+01	0.852E+00	0.166E+01	0.7101
1.8642	5.6150	0.4200	0.553E+00	0.190E+02	0.196E+02	0.206E-01	0.170E+01	0.172E+01	0.858E+00	0.163E+01	0.7125
1.8278	5.6332	0.4300	0.596E+00	0.187E+02	0.193E+02	0.223E-01	0.172E+01	0.174E+01	0.870E+00	0.158E+01	0.7148
1.7929	5.6507	0.4400	0.646E+00	0.157E+02	0.164E+02	0.240E-01	0.177E+01	0.179E+01	0.895E+00	0.131E+01	0.7170
1.7593	5.6674	0.4500	0.695E+00	0.136E+02	0.143E+02	0.259E-01	0.184E+01	0.186E+01	0.931E+00	0.110E+01	0.7191
1.7269	5.6836	0.4600	0.752E+00	0.134E+02	0.141E+02	0.276E-01	0.192E+01	0.195E+01	0.973E+00	0.104E+01	0.7212
1.6958	5.6991	0.4700	0.807E+00	0.128E+02	0.136E+02	0.301E-01	0.201E+01	0.204E+01	0.102E+01	0.952E+00	0.7231
1.6658	5.7141	0.4800	0.865E+00	0.127E+02	0.136E+02	0.323E-01	0.211E+01	0.215E+01	0.107E+01	0.902E+00	0.7250
1.6369	5.7285	0.4900	0.940E+00	0.130E+02	0.139E+02	0.350E-01	0.221E+01	0.224E+01	0.112E+01	0.885E+00	0.7269
1.6090	5.7424	0.5000	0.101E+01	0.124E+02	0.134E+02	0.377E-01	0.229E+01	0.233E+01	0.116E+01	0.824E+00	0.7286
1.5821	5.7559	0.5100	0.152E+01	0.120E+02	0.135E+02	0.409E-01	0.230E+01	0.234E+01	0.117E+01	0.823E+00	0.7303
1.5560	5.7689	0.5200	0.205E+01	0.115E+02	0.136E+02	0.440E-01	0.219E+01	0.224E+01	0.112E+01	0.867E+00	0.7320
1.5309	5.7814	0.5300	0.260E+01	0.111E+02	0.137E+02	0.483E-01	0.217E+01	0.222E+01	0.111E+01	0.881E+00	0.7336
