  W2      Ee`     X         QE_N       IN_N      TOT_N       QE_D       IN_D      TOT_D      DGW2D       REL       Q2
---------------------------------------------------------------------------------------------------------------------------
  1.1474  5.8884  0.8000   0.270E+01  0.153E+01  0.423E+01  0.165E+00  0.815E-01  0.247E+00  0.120E+00  0.245E+01  1.0682
  1.1313  5.8963  0.8100   0.277E+01  0.141E+01  0.418E+01  0.191E+00  0.679E-01  0.258E+00  0.126E+00  0.231E+01  1.0696
  1.1155  5.9040  0.8200   0.283E+01  0.130E+01  0.413E+01  0.219E+00  0.566E-01  0.275E+00  0.134E+00  0.214E+01  1.0710
  1.1000  5.9115  0.8300   0.288E+01  0.121E+01  0.410E+01  0.256E+00  0.473E-01  0.303E+00  0.147E+00  0.193E+01  1.0724
  1.0849  5.9188  0.8400   0.294E+01  0.117E+01  0.411E+01  0.291E+00  0.396E-01  0.331E+00  0.161E+00  0.177E+01  1.0737
  1.0701  5.9260  0.8500   0.299E+01  0.100E+01  0.399E+01  0.339E+00  0.332E-01  0.372E+00  0.181E+00  0.153E+01  1.0750
  1.0556  5.9331  0.8600   0.304E+01  0.957E+00  0.399E+01  0.395E+00  0.279E-01  0.423E+00  0.206E+00  0.135E+01  1.0763
  1.0414  5.9400  0.8700   0.308E+01  0.853E+00  0.393E+01  0.454E+00  0.233E-01  0.477E+00  0.232E+00  0.118E+01  1.0776
  1.0275  5.9467  0.8800   0.311E+01  0.812E+00  0.392E+01  0.523E+00  0.199E-01  0.543E+00  0.264E+00  0.103E+01  1.0788
  1.0138  5.9533  0.8900   0.314E+01  0.702E+00  0.384E+01  0.608E+00  0.169E-01  0.625E+00  0.304E+00  0.877E+00  1.0800
  1.0005  5.9598  0.9000   0.319E+01  0.646E+00  0.383E+01  0.698E+00  0.145E-01  0.712E+00  0.346E+00  0.769E+00  1.0812
  0.9874  5.9662  0.9100   0.321E+01  0.563E+00  0.377E+01  0.805E+00  0.124E-01  0.817E+00  0.397E+00  0.659E+00  1.0823
  0.9746  5.9724  0.9200   0.323E+01  0.502E+00  0.373E+01  0.918E+00  0.106E-01  0.928E+00  0.451E+00  0.574E+00  1.0835
  0.9620  5.9785  0.9300   0.326E+01  0.436E+00  0.369E+01  0.104E+01  0.896E-02  0.105E+01  0.508E+00  0.504E+00  1.0846
  0.9497  5.9845  0.9400   0.327E+01  0.386E+00  0.365E+01  0.118E+01  0.767E-02  0.119E+01  0.579E+00  0.438E+00  1.0857
  0.9376  5.9904  0.9500   0.329E+01  0.346E+00  0.363E+01  0.130E+01  0.652E-02  0.131E+01  0.637E+00  0.396E+00  1.0867
  0.9257  5.9962  0.9600   0.330E+01  0.300E+00  0.360E+01  0.143E+01  0.557E-02  0.143E+01  0.697E+00  0.358E+00  1.0878
  0.9140  6.0018  0.9700   0.330E+01  0.257E+00  0.356E+01  0.154E+01  0.476E-02  0.155E+01  0.752E+00  0.329E+00  1.0888
  0.9026  6.0074  0.9800   0.331E+01  0.225E+00  0.354E+01  0.162E+01  0.402E-02  0.163E+01  0.790E+00  0.311E+00  1.0898
  0.8914  6.0129  0.9900   0.330E+01  0.197E+00  0.350E+01  0.167E+01  0.342E-02  0.168E+01  0.815E+00  0.298E+00  1.0908
  0.8804  6.0182  1.0000   0.331E+01  0.160E+00  0.347E+01  0.169E+01  0.293E-02  0.170E+01  0.824E+00  0.292E+00  1.0918
  0.8695  6.0235  1.0100   0.330E+01  0.140E+00  0.344E+01  0.167E+01  0.250E-02  0.167E+01  0.811E+00  0.295E+00  1.0927
  0.8589  6.0286  1.0200   0.330E+01  0.122E+00  0.342E+01  0.161E+01  0.213E-02  0.161E+01  0.782E+00  0.303E+00  1.0937
  0.8485  6.0337  1.0300   0.328E+01  0.104E+00  0.338E+01  0.151E+01  0.182E-02  0.151E+01  0.734E+00  0.320E+00  1.0946
  0.8382  6.0387  1.0400   0.326E+01  0.905E-01  0.335E+01  0.141E+01  0.155E-02  0.141E+01  0.684E+00  0.340E+00  1.0955
  0.8282  6.0436  1.0500   0.324E+01  0.776E-01  0.332E+01  0.129E+01  0.131E-02  0.129E+01  0.626E+00  0.368E+00  1.0964
  0.8183  6.0484  1.0600   0.322E+01  0.652E-01  0.328E+01  0.117E+01  0.112E-02  0.117E+01  0.568E+00  0.401E+00  1.0972
  0.8085  6.0531  1.0700   0.320E+01  0.414E-01  0.324E+01  0.105E+01  0.953E-03  0.105E+01  0.512E+00  0.439E+00  1.0981
  0.7990  6.0578  1.0800   0.315E+01  0.466E-01  0.320E+01  0.947E+00  0.809E-03  0.947E+00  0.460E+00  0.483E+00  1.0989
  0.7896  6.0623  1.0900   0.313E+01  0.410E-01  0.317E+01  0.842E+00  0.688E-03  0.843E+00  0.410E+00  0.537E+00  1.0998
  0.7803  6.0668  1.1000   0.310E+01  0.347E-01  0.313E+01  0.755E+00  0.583E-03  0.755E+00  0.367E+00  0.593E+00  1.1006
  0.7712  6.0712  1.1100   0.306E+01  0.284E-01  0.308E+01  0.670E+00  0.499E-03  0.670E+00  0.326E+00  0.657E+00  1.1014
  0.7623  6.0756  1.1200   0.300E+01  0.241E-01  0.303E+01  0.594E+00  0.424E-03  0.594E+00  0.289E+00  0.727E+00  1.1022
  0.7535  6.0799  1.1300   0.296E+01  0.189E-01  0.298E+01  0.531E+00  0.361E-03  0.531E+00  0.258E+00  0.802E+00  1.1029
  0.7448  6.0841  1.1400   0.292E+01  0.160E-01  0.293E+01  0.474E+00  0.309E-03  0.474E+00  0.230E+00  0.884E+00  1.1037
  0.7363  6.0882  1.1500   0.286E+01  0.106E-01  0.287E+01  0.423E+00  0.258E-03  0.423E+00  0.206E+00  0.970E+00  1.1045
  0.7279  6.0923  1.1600   0.281E+01  0.851E-02  0.281E+01  0.379E+00  0.217E-03  0.379E+00  0.184E+00  0.106E+01  1.1052
  0.7197  6.0963  1.1700   0.275E+01  0.638E-02  0.276E+01  0.341E+00  0.182E-03  0.341E+00  0.166E+00  0.115E+01  1.1059
  0.7116  6.1002  1.1800   0.268E+01  0.530E-02  0.269E+01  0.305E+00  0.149E-03  0.306E+00  0.149E+00  0.126E+01  1.1066
  0.7036  6.1041  1.1900   0.263E+01  0.453E-02  0.263E+01  0.273E+00  0.123E-03  0.273E+00  0.133E+00  0.138E+01  1.1073
  0.6957  6.1079  1.2000   0.256E+01  0.000E+00  0.256E+01  0.248E+00  0.000E+00  0.248E+00  0.121E+00  0.147E+01  1.1080
  0.6879  6.1117  1.2100   0.248E+01  0.000E+00  0.248E+01  0.223E+00  0.000E+00  0.223E+00  0.108E+00  0.159E+01  1.1087
  0.6803  6.1154  1.2200   0.241E+01  0.000E+00  0.241E+01  0.203E+00  0.000E+00  0.203E+00  0.985E-01  0.170E+01  1.1094
  0.6728  6.1191  1.2300   0.234E+01  0.000E+00  0.234E+01  0.184E+00  0.000E+00  0.184E+00  0.895E-01  0.181E+01  1.1101
