W2	Ee`	X	QL_A	IN_A	TOT_A	QL_D	IN_D	TOT_D	DGW2D	REL	Q2
5.2880	8.3156	0.3000	0.399E-03	0.180E+01	0.180E+01	0.720E-05	0.253E+00	0.253E+00	0.120E+00	0.102E+01	1.8890
5.1242	8.3934	0.3100	0.474E-03	0.182E+01	0.182E+01	0.175E-04	0.252E+00	0.252E+00	0.120E+00	0.103E+01	1.9067
4.9679	8.4677	0.3200	0.556E-03	0.183E+01	0.183E+01	0.206E-04	0.250E+00	0.250E+00	0.119E+00	0.105E+01	1.9236
4.8185	8.5388	0.3300	0.647E-03	0.191E+01	0.191E+01	0.240E-04	0.248E+00	0.248E+00	0.118E+00	0.110E+01	1.9397
4.6756	8.6067	0.3400	0.754E-03	0.189E+01	0.189E+01	0.280E-04	0.248E+00	0.248E+00	0.118E+00	0.109E+01	1.9551
4.5387	8.6717	0.3500	0.870E-03	0.187E+01	0.187E+01	0.324E-04	0.249E+00	0.249E+00	0.119E+00	0.107E+01	1.9699
4.4076	8.7341	0.3600	0.997E-03	0.146E+01	0.146E+01	0.371E-04	0.479E-01	0.479E-01	0.228E-01	0.436E+01	1.9841
4.2818	8.7939	0.3700	0.112E-02	0.143E+01	0.143E+01	0.416E-04	0.368E-01	0.369E-01	0.175E-01	0.554E+01	1.9976
4.1610	8.8513	0.3800	0.127E-02	0.130E+01	0.130E+01	0.473E-04	0.173E+00	0.173E+00	0.820E-01	0.107E+01	2.0107
4.0449	8.9065	0.3900	0.143E-02	0.120E+01	0.120E+01	0.533E-04	0.226E+00	0.226E+00	0.107E+00	0.759E+00	2.0232
3.9333	8.9596	0.4000	0.160E-02	0.124E+01	0.124E+01	0.598E-04	0.238E+00	0.238E+00	0.113E+00	0.746E+00	2.0353
3.8259	9.0106	0.4100	0.178E-02	0.174E+01	0.174E+01	0.666E-04	0.236E+00	0.236E+00	0.112E+00	0.106E+01	2.0469
3.7224	9.0598	0.4200	0.198E-02	0.140E+01	0.140E+01	0.740E-04	0.233E+00	0.233E+00	0.111E+00	0.858E+00	2.0580
3.6227	9.1072	0.4300	0.220E-02	0.167E+01	0.167E+01	0.825E-04	0.227E+00	0.228E+00	0.108E+00	0.105E+01	2.0688
3.5266	9.1529	0.4400	0.243E-02	0.150E+01	0.150E+01	0.910E-04	0.224E+00	0.224E+00	0.106E+00	0.960E+00	2.0792
3.4338	9.1970	0.4500	0.266E-02	0.129E+01	0.129E+01	0.997E-04	0.221E+00	0.221E+00	0.105E+00	0.838E+00	2.0892
3.3443	9.2395	0.4600	0.293E-02	0.126E+01	0.126E+01	0.110E-03	0.218E+00	0.218E+00	0.104E+00	0.828E+00	2.0989
3.2577	9.2807	0.4700	0.319E-02	0.127E+01	0.128E+01	0.120E-03	0.216E+00	0.216E+00	0.103E+00	0.843E+00	2.1082
3.1741	9.3204	0.4800	0.351E-02	0.128E+01	0.128E+01	0.132E-03	0.216E+00	0.216E+00	0.103E+00	0.847E+00	2.1173
3.0931	9.3589	0.4900	0.384E-02	0.129E+01	0.130E+01	0.144E-03	0.216E+00	0.216E+00	0.103E+00	0.857E+00	2.1260
3.0148	9.3961	0.5000	0.414E-02	0.124E+01	0.124E+01	0.159E-03	0.216E+00	0.216E+00	0.103E+00	0.819E+00	2.1344
2.9390	9.4322	0.5100	0.456E-02	0.119E+01	0.119E+01	0.171E-03	0.214E+00	0.214E+00	0.102E+00	0.796E+00	2.1426
2.8655	9.4671	0.5200	0.497E-02	0.114E+01	0.114E+01	0.187E-03	0.209E+00	0.209E+00	0.994E-01	0.782E+00	2.1506
2.7943	9.5010	0.5300	0.542E-02	0.109E+01	0.109E+01	0.204E-03	0.195E+00	0.195E+00	0.928E-01	0.800E+00	2.1583
2.7252	9.5338	0.5400	0.590E-02	0.107E+01	0.107E+01	0.222E-03	0.176E+00	0.176E+00	0.836E-01	0.873E+00	2.1657
2.6582	9.5656	0.5500	0.639E-02	0.105E+01	0.106E+01	0.241E-03	0.182E+00	0.183E+00	0.868E-01	0.830E+00	2.1730
2.5932	9.5966	0.5600	0.697E-02	0.102E+01	0.103E+01	0.262E-03	0.178E+00	0.179E+00	0.850E-01	0.821E+00	2.1800
2.5301	9.6266	0.5700	0.764E-02	0.964E+00	0.972E+00	0.288E-03	0.174E+00	0.175E+00	0.831E-01	0.794E+00	2.1868
2.4687	9.6557	0.5800	0.840E-02	0.940E+00	0.948E+00	0.316E-03	0.172E+00	0.172E+00	0.818E-01	0.787E+00	2.1934
2.4091	9.6841	0.5900	0.921E-02	0.939E+00	0.948E+00	0.347E-03	0.170E+00	0.170E+00	0.808E-01	0.797E+00	2.1999
2.3511	9.7116	0.6000	0.101E-01	0.873E+00	0.883E+00	0.382E-03	0.168E+00	0.168E+00	0.799E-01	0.751E+00	2.2061
2.2947	9.7384	0.6100	0.111E-01	0.842E+00	0.853E+00	0.417E-03	0.164E+00	0.165E+00	0.784E-01	0.739E+00	2.2122
2.2399	9.7645	0.6200	0.182E-01	0.848E+00	0.866E+00	0.463E-03	0.159E+00	0.160E+00	0.759E-01	0.775E+00	2.2181
2.1865	9.7899	0.6300	0.262E-01	0.811E+00	0.837E+00	0.515E-03	0.152E+00	0.152E+00	0.724E-01	0.785E+00	2.2239
2.1345	9.8146	0.6400	0.341E-01	0.766E+00	0.800E+00	0.572E-03	0.143E+00	0.143E+00	0.682E-01	0.797E+00	2.2295
2.0838	9.8387	0.6500	0.412E-01	0.709E+00	0.750E+00	0.642E-03	0.134E+00	0.134E+00	0.638E-01	0.798E+00	2.2350
2.0345	9.8622	0.6600	0.484E-01	0.672E+00	0.720E+00	0.717E-03	0.125E+00	0.126E+00	0.597E-01	0.819E+00	2.2403
1.9864	9.8850	0.6700	0.556E-01	0.634E+00	0.689E+00	0.813E-03	0.117E+00	0.118E+00	0.559E-01	0.837E+00	2.2455
1.9395	9.9073	0.6800	0.630E-01	0.605E+00	0.668E+00	0.916E-03	0.111E+00	0.112E+00	0.531E-01	0.854E+00	2.2506
1.8937	9.9291	0.6900	0.700E-01	0.579E+00	0.649E+00	0.104E-02	0.106E+00	0.107E+00	0.509E-01	0.865E+00	2.2555
1.8491	9.9503	0.7000	0.771E-01	0.522E+00	0.599E+00	0.119E-02	0.102E+00	0.103E+00	0.490E-01	0.831E+00	2.2603
1.8055	9.9710	0.7100	0.841E-01	0.515E+00	0.599E+00	0.135E-02	0.985E-01	0.999E-01	0.475E-01	0.857E+00	2.2650
1.7630	9.9912	0.7200	0.909E-01	0.492E+00	0.583E+00	0.155E-02	0.960E-01	0.976E-01	0.464E-01	0.853E+00	2.2696
1.7215	10.0109	0.7300	0.981E-01	0.466E+00	0.565E+00	0.179E-02	0.940E-01	0.958E-01	0.455E-01	0.842E+00	2.2741
1.6809	10.0302	0.7400	0.105E+00	0.437E+00	0.542E+00	0.207E-02	0.923E-01	0.944E-01	0.449E-01	0.821E+00	2.2785
1.6413	10.0490	0.7500	0.112E+00	0.418E+00	0.530E+00	0.239E-02	0.906E-01	0.930E-01	0.442E-01	0.814E+00	2.2828
1.6026	10.0675	0.7600	0.119E+00	0.395E+00	0.514E+00	0.278E-02	0.888E-01	0.916E-01	0.435E-01	0.801E+00	2.2869
1.5647	10.0855	0.7700	0.125E+00	0.371E+00	0.496E+00	0.327E-02	0.865E-01	0.898E-01	0.427E-01	0.789E+00	2.2910
1.5277	10.1030	0.7800	0.131E+00	0.353E+00	0.484E+00	0.379E-02	0.830E-01	0.867E-01	0.412E-01	0.797E+00	2.2950
1.4915	10.1203	0.7900	0.138E+00	0.326E+00	0.463E+00	0.446E-02	0.777E-01	0.822E-01	0.391E-01	0.806E+00	2.2989
1.4561	10.1371	0.8000	0.144E+00	0.311E+00	0.455E+00	0.527E-02	0.722E-01	0.774E-01	0.368E-01	0.839E+00	2.3028
1.4214	10.1536	0.8100	0.150E+00	0.275E+00	0.424E+00	0.621E-02	0.659E-01	0.721E-01	0.343E-01	0.840E+00	2.3065
1.3875	10.1697	0.8200	0.155E+00	0.263E+00	0.418E+00	0.730E-02	0.592E-01	0.665E-01	0.316E-01	0.898E+00	2.3102
1.3543	10.1855	0.8300	0.161E+00	0.251E+00	0.412E+00	0.872E-02	0.523E-01	0.610E-01	0.290E-01	0.965E+00	2.3138
1.3218	10.2009	0.8400	0.166E+00	0.241E+00	0.407E+00	0.104E-01	0.375E-01	0.479E-01	0.228E-01	0.122E+01	2.3173
1.2899	10.2161	0.8500	0.171E+00	0.229E+00	0.400E+00	0.124E-01	0.358E-01	0.482E-01	0.229E-01	0.119E+01	2.3207
1.2587	10.2309	0.8600	0.176E+00	0.214E+00	0.390E+00	0.148E-01	0.310E-01	0.458E-01	0.218E-01	0.122E+01	2.3241
1.2281	10.2454	0.8700	0.181E+00	0.200E+00	0.381E+00	0.176E-01	0.271E-01	0.446E-01	0.212E-01	0.122E+01	2.3274
1.1982	10.2597	0.8800	0.185E+00	0.191E+00	0.376E+00	0.211E-01	0.240E-01	0.451E-01	0.214E-01	0.119E+01	2.3306
1.1688	10.2736	0.8900	0.189E+00	0.174E+00	0.363E+00	0.253E-01	0.200E-01	0.453E-01	0.215E-01	0.115E+01	2.3338
1.1400	10.2873	0.9000	0.193E+00	0.167E+00	0.360E+00	0.303E-01	0.173E-01	0.476E-01	0.226E-01	0.108E+01	2.3369
1.1118	10.3007	0.9100	0.196E+00	0.156E+00	0.353E+00	0.364E-01	0.138E-01	0.501E-01	0.238E-01	0.100E+01	2.3399
1.0841	10.3139	0.9200	0.200E+00	0.142E+00	0.342E+00	0.439E-01	0.114E-01	0.553E-01	0.263E-01	0.885E+00	2.3429
1.0569	10.3268	0.9300	0.203E+00	0.132E+00	0.334E+00	0.521E-01	0.942E-02	0.616E-01	0.293E-01	0.775E+00	2.3459
1.0303	10.3395	0.9400	0.205E+00	0.125E+00	0.330E+00	0.625E-01	0.782E-02	0.703E-01	0.334E-01	0.671E+00	2.3487
1.0041	10.3519	0.9500	0.207E+00	0.115E+00	0.322E+00	0.731E-01	0.652E-02	0.796E-01	0.378E-01	0.579E+00	2.3516
0.9785	10.3641	0.9600	0.209E+00	0.109E+00	0.318E+00	0.845E-01	0.545E-02	0.899E-01	0.428E-01	0.505E+00	2.3543
0.9533	10.3761	0.9700	0.211E+00	0.994E-01	0.310E+00	0.956E-01	0.457E-02	0.100E+00	0.476E-01	0.443E+00	2.3571
0.9285	10.3879	0.9800	0.212E+00	0.952E-01	0.307E+00	0.105E+00	0.384E-02	0.108E+00	0.516E-01	0.404E+00	2.3597
0.9042	10.3994	0.9900	0.213E+00	0.869E-01	0.300E+00	0.111E+00	0.322E-02	0.114E+00	0.542E-01	0.375E+00	2.3624
0.8804	10.4107	1.0000	0.214E+00	0.796E-01	0.293E+00	0.112E+00	0.273E-02	0.115E+00	0.547E-01	0.364E+00	2.3649
0.8569	10.4219	1.0100	0.213E+00	0.725E-01	0.286E+00	0.110E+00	0.231E-02	0.112E+00	0.534E-01	0.364E+00	2.3675
0.8339	10.4328	1.0200	0.213E+00	0.657E-01	0.279E+00	0.105E+00	0.197E-02	0.107E+00	0.507E-01	0.373E+00	2.3699
0.8113	10.4436	1.0300	0.213E+00	0.568E-01	0.269E+00	0.956E-01	0.168E-02	0.973E-01	0.462E-01	0.396E+00	2.3724
0.7890	10.4542	1.0400	0.212E+00	0.531E-01	0.265E+00	0.855E-01	0.146E-02	0.869E-01	0.413E-01	0.435E+00	2.3748
0.7672	10.4646	1.0500	0.211E+00	0.476E-01	0.258E+00	0.755E-01	0.124E-02	0.768E-01	0.365E-01	0.481E+00	2.3772
0.7457	10.4748	1.0600	0.209E+00	0.431E-01	0.252E+00	0.646E-01	0.109E-02	0.657E-01	0.312E-01	0.548E+00	2.3795
0.7246	10.4848	1.0700	0.207E+00	0.382E-01	0.245E+00	0.562E-01	0.954E-03	0.572E-01	0.272E-01	0.613E+00	2.3818
0.7038	10.4947	1.0800	0.205E+00	0.339E-01	0.238E+00	0.478E-01	0.838E-03	0.487E-01	0.231E-01	0.700E+00	2.3840
0.6833	10.5044	1.0900	0.202E+00	0.303E-01	0.232E+00	0.410E-01	0.738E-03	0.417E-01	0.198E-01	0.793E+00	2.3862
0.6632	10.5140	1.1000	0.199E+00	0.263E-01	0.225E+00	0.351E-01	0.650E-03	0.357E-01	0.170E-01	0.899E+00	2.3884
0.6435	10.5234	1.1100	0.195E+00	0.229E-01	0.218E+00	0.300E-01	0.574E-03	0.306E-01	0.145E-01	0.102E+01	2.3905
0.6240	10.5326	1.1200	0.191E+00	0.196E-01	0.210E+00	0.259E-01	0.509E-03	0.264E-01	0.126E-01	0.114E+01	2.3926
0.6049	10.5417	1.1300	0.186E+00	0.175E-01	0.204E+00	0.223E-01	0.452E-03	0.227E-01	0.108E-01	0.128E+01	2.3947
0.5860	10.5507	1.1400	0.182E+00	0.148E-01	0.196E+00	0.192E-01	0.402E-03	0.196E-01	0.931E-02	0.143E+01	2.3967
0.5675	10.5595	1.1500	0.176E+00	0.123E-01	0.189E+00	0.167E-01	0.358E-03	0.170E-01	0.809E-02	0.158E+01	2.3987
0.5492	10.5682	1.1600	0.171E+00	0.108E-01	0.182E+00	0.145E-01	0.319E-03	0.149E-01	0.706E-02	0.175E+01	2.4007
0.5313	10.5767	1.1700	0.165E+00	0.939E-02	0.174E+00	0.126E-01	0.285E-03	0.129E-01	0.612E-02	0.193E+01	2.4026
0.5136	10.5851	1.1800	0.158E+00	0.791E-02	0.165E+00	0.110E-01	0.255E-03	0.113E-01	0.537E-02	0.209E+01	2.4045
0.4961	10.5934	1.1900	0.151E+00	0.693E-02	0.158E+00	0.970E-02	0.228E-03	0.993E-02	0.472E-02	0.228E+01	2.4064
0.4790	10.6015	1.2000	0.144E+00	0.573E-02	0.149E+00	0.857E-02	0.204E-03	0.877E-02	0.417E-02	0.243E+01	2.4083
0.4621	10.6096	1.2100	0.136E+00	0.513E-02	0.141E+00	0.754E-02	0.183E-03	0.772E-02	0.367E-02	0.261E+01	2.4101
0.4454	10.6175	1.2200	0.128E+00	0.454E-02	0.133E+00	0.672E-02	0.164E-03	0.689E-02	0.327E-02	0.275E+01	2.4119
0.4290	10.6253	1.2300	0.120E+00	0.384E-02	0.124E+00	0.595E-02	0.146E-03	0.610E-02	0.290E-02	0.290E+01	2.4137
0.4129	10.6330	1.2400	0.111E+00	0.335E-02	0.114E+00	0.526E-02	0.131E-03	0.539E-02	0.256E-02	0.302E+01	2.4154
0.3969	10.6405	1.2500	0.101E+00	0.286E-02	0.104E+00	0.475E-02	0.117E-03	0.487E-02	0.231E-02	0.305E+01	2.4171
0.3812	10.6480	1.2600	0.919E-01	0.249E-02	0.943E-01	0.423E-02	0.104E-03	0.433E-02	0.206E-02	0.311E+01	2.4188
0.3658	10.6554	1.2700	0.813E-01	0.220E-02	0.835E-01	0.380E-02	0.923E-04	0.389E-02	0.185E-02	0.306E+01	2.4205
0.3505	10.6626	1.2800	0.710E-01	0.194E-02	0.729E-01	0.343E-02	0.818E-04	0.351E-02	0.167E-02	0.296E+01	2.4221
0.3355	10.6698	1.2900	0.593E-01	0.170E-02	0.610E-01	0.307E-02	0.721E-04	0.315E-02	0.150E-02	0.277E+01	2.4238
0.3207	10.6768	1.3000	0.478E-01	0.149E-02	0.493E-01	0.280E-02	0.635E-04	0.286E-02	0.136E-02	0.246E+01	2.4254
0.3061	10.6838	1.3100	0.393E-01	0.130E-02	0.406E-01	0.253E-02	0.555E-04	0.259E-02	0.123E-02	0.224E+01	2.4269
0.2916	10.6906	1.3200	0.394E-01	0.113E-02	0.406E-01	0.228E-02	0.480E-04	0.233E-02	0.111E-02	0.249E+01	2.4285
0.2774	10.6974	1.3300	0.398E-01	0.977E-03	0.407E-01	0.210E-02	0.419E-04	0.214E-02	0.102E-02	0.272E+01	2.4300
0.2634	10.7040	1.3400	0.397E-01	0.838E-03	0.405E-01	0.191E-02	0.361E-04	0.195E-02	0.925E-03	0.297E+01	2.4316
0.2496	10.7106	1.3500	0.401E-01	0.712E-03	0.408E-01	0.175E-02	0.309E-04	0.178E-02	0.847E-03	0.327E+01	2.4330
0.2359	10.7171	1.3600	0.402E-01	0.603E-03	0.408E-01	0.160E-02	0.261E-04	0.163E-02	0.775E-03	0.358E+01	2.4345
0.2225	10.7235	1.3700	0.395E-01	0.507E-03	0.400E-01	0.148E-02	0.219E-04	0.150E-02	0.713E-03	0.382E+01	2.4360
0.2092	10.7298	1.3800	0.362E-01	0.421E-03	0.366E-01	0.135E-02	0.182E-04	0.137E-02	0.652E-03	0.381E+01	2.4374
0.1961	10.7360	1.3900	0.336E-01	0.346E-03	0.339E-01	0.126E-02	0.150E-04	0.127E-02	0.604E-03	0.381E+01	2.4388
0.1832	10.7422	1.4000	0.309E-01	0.284E-03	0.312E-01	0.116E-02	0.124E-04	0.117E-02	0.556E-03	0.381E+01	2.4402
0.1704	10.7482	1.4100	0.286E-01	0.232E-03	0.288E-01	0.108E-02	0.102E-04	0.109E-02	0.517E-03	0.378E+01	2.4416
0.1578	10.7542	1.4200	0.266E-01	0.187E-03	0.268E-01	0.999E-03	0.826E-05	0.101E-02	0.479E-03	0.381E+01	2.4430
0.1454	10.7601	1.4300	0.248E-01	0.150E-03	0.250E-01	0.931E-03	0.666E-05	0.938E-03	0.446E-03	0.381E+01	2.4443
0.1331	10.7660	1.4400	0.232E-01	0.120E-03	0.233E-01	0.870E-03	0.532E-05	0.875E-03	0.416E-03	0.380E+01	2.4456
