
Spec	xx	qq	   w	ep_in	th_in	  d_rate	  Azz		dAzz		b1d		   db1d			time	syst_Azz   syst_b1d		thq		costhq	sigma_unpol	w2		q2		x		nu		pac_time	e_in	xdx	 	allrate		he_rate		n_rate	   fdil		x_spec		x_min	x_max	li_rate
1    NaN   99.0     NaN   10.47   55.23  0.000E+00  0.100E+01   Infinity        NaN        NaN     168.00   0.10E+00   0.00E+00     0.000   0.000 0.0000E+00     NaN  112.36 -199.75     NaN     168.00      11.00     NaN  0.198E-13  0.489E-25  0.000E+00   0.10E+01  100.00  100.00  100.00  0.000E+00
1    NaN   99.0     NaN   10.47   55.23  0.000E+00  0.100E+01   Infinity        NaN        NaN     168.00   0.10E+00   0.00E+00     0.000   0.000 0.0000E+00     NaN  112.36 -199.75     NaN     168.00      11.00     NaN  0.198E-13  0.489E-25  0.000E+00   0.10E+01  100.00  100.00  100.00  0.000E+00
1    NaN   99.0     NaN   10.47   55.23  0.000E+00  0.100E+01   Infinity        NaN        NaN     336.00   0.10E+00   0.00E+00     0.000   0.000 0.0000E+00     NaN  112.36 -199.75     NaN     336.00      11.00     NaN  0.198E-13  0.489E-25  0.000E+00   0.10E+01  100.00  100.00  100.00  0.000E+00
1    NaN   99.0     NaN   10.47   55.23  0.000E+00  0.100E+01   Infinity        NaN        NaN     720.00   0.10E+00   0.00E+00     0.000   0.000 0.0000E+00     NaN  112.36 -199.75     NaN     720.00      11.00     NaN  0.198E-13  0.489E-25  0.000E+00   0.10E+01  100.00  100.00  100.00  0.000E+00
1   0.48    3.8    2.00    7.30   12.52  0.115E+02  0.155E-01  0.107E-01 -0.191E-02  0.163E-02     720.00   0.25E-02   0.39E-03    22.216   0.926 0.0000E+00    4.01    5.19    0.89    4.28     720.00      11.00    0.12  0.545E+02  0.517E+01  0.000E+00   0.23E+00    0.55    0.34    0.67  0.369E+02
2   0.17    1.2    2.78    6.70    7.35  0.299E+03 -0.513E-02  0.495E-02  0.718E-02  0.642E-02     144.00   0.46E-02   0.60E-02    11.134   0.981 0.2163E-06    7.74    1.97    0.35    3.76     144.00      11.00    0.43  0.135E+04  0.127E+03  0.000E+00   0.22E+00    0.15    0.09    0.35  0.957E+03
2   0.32    2.0    2.36    7.45    8.96  0.110E+03  0.483E-02  0.174E-01 -0.315E-02  0.108E-01     216.00   0.37E-02   0.23E-02    17.661   0.953 0.0000E+00    5.55    3.09    0.79    3.35     216.00      11.00    0.28  0.565E+03  0.536E+02  0.000E+00   0.83E-01    0.30    0.18    0.55  0.134E+04
2   0.40    2.6    2.00    7.96    9.85  0.368E+02  0.121E-01  0.553E-01 -0.328E-02  0.157E-01     360.00   0.30E-02   0.85E-03    23.311   0.918 0.0000E+00    4.01    3.90    1.42    3.46     360.00      11.00    0.20  0.239E+03  0.231E+02  0.000E+00   0.35E-01    0.45    0.26    0.58  0.150E+04
2    NaN   99.0     NaN   10.47   55.23  0.000E+00  0.100E+01   Infinity        NaN        NaN     168.00   0.10E+00   0.00E+00    23.311   0.918 0.0000E+00     NaN  123.53  -42.29     NaN     168.00      11.00     NaN  0.133E-13  0.312E-25  0.000E+00   0.89E-17  100.00  100.00  100.00  0.150E+04
2    NaN   99.0     NaN   10.47   55.23  0.000E+00  0.100E+01   Infinity        NaN        NaN     168.00   0.10E+00   0.00E+00    23.311   0.918 0.0000E+00     NaN  123.53  -42.29     NaN     168.00      11.00     NaN  0.133E-13  0.312E-25  0.000E+00   0.89E-17  100.00  100.00  100.00  0.150E+04
