Kine	Model	x	Azz	Creator
H1	AV18-Norm	0.49967	-0.3099814707	Arenhovel
H1	AV18-Norm	0.59971	-0.2617992147	Arenhovel
H1	AV18-Norm	0.70000	-0.2020204074	Arenhovel
H1	AV18-Norm	0.79993	-0.1044326005	Arenhovel
H1	AV18-Norm	0.89993	0.0192686598	Arenhovel
H1	AV18-Norm	0.99884	0.066154082	Arenhovel
H1	AV18-Norm	0.99964	0.0652716128	Arenhovel
H1	AV18-Norm	1.09997	-0.1369708262	Arenhovel
H1	AV18-Norm	1.20000	-0.5774799661	Arenhovel
H1	AV18-Norm	1.30062	-0.6472006947	Arenhovel
H1	AV18-Norm	1.40008	-0.2829699917	Arenhovel
H1	AV18-Norm	1.50065	0.1509531556	Arenhovel
H1	AV18-Norm	1.60042	0.4676945672	Arenhovel
H1	AV18-Norm	1.70081	0.6752162654	Arenhovel
H1	AV18-Norm	1.80100	0.8153082608	Arenhovel
H1	AV18-Norm-MEC	0.49967	-0.3558585587	Arenhovel
H1	AV18-Norm-MEC	0.59971	-0.2886692724	Arenhovel
H1	AV18-Norm-MEC	0.70000	-0.2136452429	Arenhovel
H1	AV18-Norm-MEC	0.79993	-0.1074576033	Arenhovel
H1	AV18-Norm-MEC	0.89993	0.0192078486	Arenhovel
H1	AV18-Norm-MEC	0.99884	0.0662092363	Arenhovel
H1	AV18-Norm-MEC	0.99964	0.0655318281	Arenhovel
H1	AV18-Norm-MEC	1.09997	-0.1350446673	Arenhovel
H1	AV18-Norm-MEC	1.20000	-0.5734353153	Arenhovel
H1	AV18-Norm-MEC	1.30062	-0.6476249588	Arenhovel
H1	AV18-Norm-MEC	1.40008	-0.2850630278	Arenhovel
H1	AV18-Norm-MEC	1.50065	0.1520986686	Arenhovel
H1	AV18-Norm-MEC	1.60042	0.4676238565	Arenhovel
H1	AV18-Norm-MEC	1.70081	0.6708887719	Arenhovel
H1	AV18-Norm-MEC	1.80100	0.8075725127	Arenhovel
H1	AV18-Norm-MEC-IC	0.49967	-0.3170101121	Arenhovel
H1	AV18-Norm-MEC-IC	0.59971	-0.2460307334	Arenhovel
