nullmf          	uniform                                            	0*T 0*T 0*T                                                             	0           	Null Magnetic Field
uniformZ1.5T      	uniform                                            	0*T 0*T 1.5*T                                                             	0           	Uniform 1.5T Magnetic Field along z-axis
uniformY2T      	uniform                                            	0*T 2*T 0*T                                                             	0           	Uniform 2T Magnetic Field along y-axis
solenoid_BaBar      	mapped txt cylindrical solenoid_BaBar.dat      	401 0 400  cm  1001  -400  600 cm 0 0 0 cm gauss    	RungeKutta     	solenoid_BaBar
solenoid_CLEO      	mapped txt cylindrical solenoid_CLEO.dat      	501 0 500  cm  1201  -600  600 cm 0 0 0 cm gauss    	RungeKutta     	solenoid_CLEO
solenoid_CDF      	mapped txt cylindrical solenoid_CDF.dat      	401 0 400  cm  1001  -400  600 cm 0 0 0 cm gauss    	RungeKutta     	solenoid_CDF
solenoid_ZEUS      	mapped txt cylindrical solenoid_ZEUS.dat      	301 0 300  cm  776  -300  475 cm 0 0 0 cm gauss    	RungeKutta     	solenoid_ZEUS
solenoid_HALLD      	mapped txt cylindrical solenoid_HALLD.dat      	401 0 400  cm  1001  -300  700 cm 0 0 0 cm gauss    	RungeKutta     	solenoid_HALLD
solenoid_SolCust      	mapped txt cylindrical solenoid_SolCust.dat    	401 0 400  cm  1001  -400  600 cm 0 0 0 cm gauss    	RungeKutta     	solenoid_SolCust
solenoid_ptarget      	mapped txt cylindrical-x solenoid_ptarget.dat	200 0 199  cm  401  -200  200 cm 0 0 -350 cm gauss	RungeKutta     	solenoid_ptarget
solenoid_ptarget_3D-cart	mapped txt 3D-cart solenoid_ptarget_3D-cart.dat	201 0 200 cm  201 0 200 cm  201 0 200 cm 0 0 -350 cm T    	RungeKutta     	solenoid_ptarget_3D-cart
